video_id,frame,time_start_s,time_end_s,scene_duration_s,scene_id,notes
anime3,94,1.752,3.921,2.169,scene_2,
anime3,165,3.921,6.882,2.961,scene_3,
anime3,238,6.882,9.927,3.045,scene_4,
anime3,314,9.927,13.096,3.170,scene_5,
anime3,381,13.096,15.891,2.794,scene_6,
anime3,416,15.891,17.351,1.460,scene_7,
anime3,507,17.351,21.146,3.795,scene_8,
anime3,545,21.146,22.731,1.585,scene_9,
anime3,630,22.731,26.276,3.545,scene_10,
anime3,671,26.276,27.986,1.710,scene_11,
anime3,700,27.986,29.196,1.210,scene_12,
anime3,721,29.196,30.072,876,scene_13,
anime3,739,30.072,30.822,751,scene_14,
anime3,821,30.822,34.243,3.420,scene_15,
anime3,866,34.243,36.119,1.877,scene_16,
anime3,936,36.119,39.039,2.920,scene_17,
anime3,982,39.039,40.958,1.919,scene_18,
anime3,1053,40.958,43.919,2.961,scene_19,
anime3,1089,43.919,45.420,1.502,scene_20,
anime3,1123,45.420,46.838,1.418,scene_21,
anime3,1139,46.838,47.506,667,scene_22,
anime3,1172,47.506,48.882,1.376,scene_23,
anime3,1212,48.882,50.550,1.668,scene_24,
anime3,1236,50.550,51.551,1.001,scene_25,
anime3,1322,51.551,55.138,3.587,scene_26,
anime3,1339,55.138,55.847,709,scene_27,
anime3,1380,55.847,57.557,1.710,scene_28,
anime3,1410,57.557,58.809,1.251,scene_29,
anime3,1473,58.809,61.436,2.628,scene_30,
anime3,1512,61.436,63.063,1.627,scene_31,
movie1,46,1.917,4.792,2.875,scene_01,jump_cut
movie1,115,4.792,10.208,5.417,scene_02,jump_cut
movie1,247,10.208,14.458,4.25,scene_03,jump_cut
movie1,348,14.458,16.375,1.917,scene_04,jump_cut
movie1,393,16.375,18.375,2.0,scene_05,jump_cut
movie1,441,18.375,20.375,2.0,scene_06,jump_cut
movie1,480,20.375,21.0,625,scene_07,jump_cut
movie1,503,21.0,21.958,958,scene_08,jump_cut
movie1,527,21.958,24.542,2.583,scene_09,jump_cut
movie1,589,24.542,27.042,2.5,scene_10,jump_cut
movie1,615,27.042,29.875,2.833,scene_11,jump_cut
movie1,647,29.875,33.708,3.833,scene_12,jump_cut
movie1,689,33.708,36.458,2.75,scene_13,jump_cut
movie1,707,36.458,39.083,2.625,scene_14,jump_cut
movie1,732,39.083,42.0,2.917,scene_15,jump_cut
movie1,757,42.0,45.708,3.708,scene_16,jump_cut
movie1,787,45.708,49.542,3.833,scene_17,jump_cut
movie1,809,49.542,52.875,3.333,scene_18,jump_cut
movie1,828,52.875,56.667,3.792,scene_19,jump_cut
movie1,900,56.667,62.5,5.833,scene_20,jump_cut
movie1,942,62.5,65.667,3.167,scene_21,jump_cut
movie1,956,65.667,69.792,4.125,scene_22,jump_cut
movie1,975,69.792,73.125,3.333,scene_23,jump_cut
movie1,999,73.125,79.958,6.833,scene_24,jump_cut
movie1,1019,79.958,84.958,5.0,scene_25,jump_cut
movie1,1066,84.958,88.542,3.583,scene_26,jump_cut
movie1,1085,88.542,92.917,4.375,scene_27,jump_cut
movie1,1118,92.917,95.833,2.917,scene_28,jump_cut
movie1,1150,95.833,97.917,2.083,scene_29,jump_cut
movie1,1169,97.917,100.0,2.083,scene_30,jump_cut
movie1,1200,100.0,103.0,3.0,scene_31,jump_cut
movie1,1236,103.0,107.5,4.5,scene_32,jump_cut
movie1,1286,107.5,113.5,6.0,scene_33,jump_cut
movie1,1364,113.5,119.167,5.667,scene_34,jump_cut
movie1,1400,119.167,125.0,5.833,scene_35,jump_cut
movie1,1445,125.0,130.833,5.833,scene_36,jump_cut
movie1,1460,130.833,135.833,5.0,scene_37,jump_cut
movie1,1500,135.833,137.5,1.667,scene_38,jump_cut
movie1,1525,137.5,139.167,1.667,scene_39,jump_cut
movie1,1546,139.167,141.5,2.333,scene_40,jump_cut
movie1,1572,141.5,144.333,2.833,scene_41,jump_cut
movie1,1594,144.333,147.167,2.833,scene_42,jump_cut
movie1,1613,147.167,150.167,3.0,scene_43,jump_cut
movie1,1634,150.167,152.167,2.0,scene_44,jump_cut
movie1,1652,152.167,155.5,3.333,scene_45,jump_cut
movie1,1692,155.5,164.5,9.0,scene_46,jump_cut
movie1,1788,164.5,182.125,17.625,scene_47,jump_cut
movie1,1971,182.125,194.625,12.5,scene_48,jump_cut
movie1,2026,194.625,198.167,3.542,scene_49,jump_cut
movie1,2056,198.167,206.375,8.208,scene_50,jump_cut
movie1,2073,206.375,211.25,4.875,scene_51,jump_cut
movie1,2090,211.25,215.625,4.375,scene_52,jump_cut
movie1,2115,215.625,219.958,4.333,scene_53,jump_cut
movie1,2159,219.958,223.667,3.708,scene_54,jump_cut
movie1,2192,223.667,227.833,4.167,scene_55,jump_cut
movie1,2234,227.833,232.417,4.583,scene_56,jump_cut
movie1,2277,232.417,237.375,4.958,scene_57,jump_cut
movie1,2299,237.375,239.958,2.583,scene_58,jump_cut
movie1,2327,239.958,243.25,3.292,scene_59,jump_cut
movie1,2349,243.25,247.042,3.792,scene_60,jump_cut
movie1,2377,247.042,251.833,4.792,scene_61,jump_cut
movie1,2444,251.833,260.167,8.333,scene_62,jump_cut
movie1,2500,260.167,264.167,4.0,scene_63,jump_cut
movie1,2524,264.167,266.167,2.0,scene_64,jump_cut
movie1,2548,266.167,270.0,3.833,scene_65,jump_cut
movie1,2600,270.0,274.167,4.167,scene_66,jump_cut
movie1,2630,274.167,277.5,3.333,scene_67,jump_cut
movie1,2647,277.5,279.5,2.0,scene_68,jump_cut
movie1,2668,279.5,282.0,2.5,scene_69,jump_cut
movie1,2688,282.0,285.375,3.375,scene_70,jump_cut
movie1,2709,285.375,289.167,3.792,scene_71,jump_cut
movie1,2740,289.167,291.0,1.833,scene_72,jump_cut
movie1,2772,291.0,293.0,2.0,scene_73,jump_cut
movie1,2792,293.0,295.458,2.458,scene_74,jump_cut
movie1,2831,295.458,,,scene_75,jump_cut
movie2,164,5.467,5.834,367,scene_01,jump_cut
movie2,175,5.834,8.434,2.6,scene_02,jump_cut
movie2,253,8.434,10.634,2.2,scene_03,jump_cut
movie2,319,10.634,12.101,1.467,scene_04,jump_cut
movie2,363,12.101,12.668,567,scene_05,jump_cut
movie2,380,12.668,13.968,1.3,scene_06,jump_cut
movie2,419,13.968,14.368,0.4,scene_07,jump_cut
movie2,431,14.368,15.702,1.333,scene_08,jump_cut
movie2,471,15.702,17.268,1.567,scene_09,jump_cut
movie2,518,17.268,17.902,633,scene_10,jump_cut
movie2,537,17.902,19.035,1.133,scene_11,jump_cut
movie2,571,19.035,20.269,1.233,scene_12,jump_cut
movie2,608,20.269,22.402,2.134,scene_13,jump_cut
movie2,672,22.402,28.303,5.901,scene_14,jump_cut
movie2,849,28.303,30.336,2.034,scene_15,jump_cut
movie2,910,30.336,,,scene_16,jump_cut
movie3,260,0,8.675,8.675,scene_1,
movie3,343,8.675,11.445,2.769,scene_2,
movie3,466,11.445,15.549,4.104,scene_3,
movie3,505,15.549,16.850,1.301,scene_4,
movie3,576,16.850,19.219,2.369,scene_5,
movie3,621,19.219,20.721,1.502,scene_6,
movie3,697,20.721,23.257,2.536,scene_7,
movie3,743,23.257,24.791,1.535,scene_8,
movie3,778,24.791,25.959,1.168,scene_9,
movie3,808,25.959,26.960,1.001,scene_10,
movie3,829,26.960,27.661,701,scene_11,
movie3,866,27.661,28.896,1.235,scene_12,
movie3,965,28.896,32.199,3.303,scene_13,
movie3,1006,32.199,33.567,1.368,scene_14,
movie3,1066,33.567,35.569,2.002,scene_15,
movie3,1105,35.569,36.870,1.301,scene_16,
movie3,1156,36.870,38.572,1.702,scene_17,
movie3,1172,38.572,39.106,534,scene_18,
movie3,1253,39.106,41.808,2.703,scene_19,
movie3,1278,41.808,42.643,834,scene_20,
movie3,1293,42.643,43.143,501,scene_21,
movie3,1390,43.143,46.380,3.237,scene_22,
movie3,1418,46.380,47.314,934,scene_23,
movie3,1501,47.314,50.083,2.769,scene_24,
movie3,1596,50.083,53.253,3.170,scene_25,
movie3,1615,53.253,53.887,634,scene_26,
movie3,1667,53.887,55.622,1.735,scene_27,
movie3,1722,55.622,57.457,1.835,scene_28,
movie3,1773,57.457,59.159,1.702,scene_29,
movie3,1792,59.159,59.793,634,scene_30,
movie3,1868,59.793,62.329,2.536,scene_31,
movie3,1889,62.329,63.030,701,scene_32,
movie3,1907,63.030,63.630,601,scene_33,
movie3,1927,63.630,64.298,667,scene_34,
movie3,1949,64.298,65.032,734,scene_35,
movie3,1983,65.032,66.166,1.134,scene_36,
movie3,2014,66.166,67.200,1.034,scene_37,
movie3,2030,67.200,67.734,534,scene_38,
movie3,2056,67.734,68.602,868,scene_39,
movie3,2071,68.602,69.102,501,scene_40,
movie3,2094,69.102,69.870,767,scene_41,
movie3,2131,69.870,71.104,1.235,scene_42,
movie3,2159,71.104,72.039,934,scene_43,
movie3,2177,72.039,72.639,601,scene_44,
movie3,2194,72.639,73.206,567,scene_45,
movie3,2219,73.206,74.041,834,scene_46,
movie3,2239,74.041,74.708,667,scene_47,
movie3,2256,74.708,75.275,567,scene_48,
movie3,2279,75.275,76.043,767,scene_49,
movie3,2319,76.043,77.377,1.335,scene_50,
movie3,2376,77.377,79.279,1.902,scene_51,
movie3,2409,79.279,80.380,1.101,scene_52,
movie3,2439,80.380,81.381,1.001,scene_53,
movie3,2466,81.381,82.282,901,scene_54,
movie3,2491,82.282,83.116,834,scene_55,
movie3,2513,83.116,83.850,734,scene_56,
movie3,2543,83.850,84.851,1.001,scene_57,
movie3,2566,84.851,85.619,767,scene_58,
movie3,2595,85.619,86.587,968,scene_59,
movie3,2617,86.587,87.321,734,scene_60,
movie3,2647,87.321,88.322,1.001,scene_61,
movie3,2669,88.322,89.056,734,scene_62,
movie3,2699,89.056,90.057,1.001,scene_63,
movie3,2721,90.057,90.791,734,scene_64,
movie3,2752,90.791,91.825,1.034,scene_65,
movie3,2796,91.825,93.293,1.468,scene_66,
movie3,2836,93.293,94.628,1.335,scene_67,
movie3,2854,94.628,95.228,601,scene_68,
movie3,2910,95.228,97.097,1.869,scene_69,
movie3,2942,97.097,98.165,1.068,scene_70,
movie3,3018,98.165,100.701,2.536,scene_71,
movie3,3087,100.701,103.003,2.302,scene_72,
music1,169,6.76,30.92,24.16,scene_01,jump_cut
music1,773,30.92,31.92,1.0,scene_02,jump_cut
music1,798,31.92,34.4,2.48,scene_03,jump_cut
music1,860,34.4,37.52,3.12,scene_04,jump_cut
music1,938,37.52,40.52,3.0,scene_05,jump_cut
music1,1013,40.52,42.52,2.0,scene_06,jump_cut
music1,1063,42.52,48.4,5.88,scene_07,jump_cut
music1,1210,48.4,50.68,2.28,scene_08,jump_cut
music1,1267,50.68,52.96,2.28,scene_09,jump_cut
music1,1324,52.96,56.64,3.68,scene_10,jump_cut
music1,1416,56.64,57.52,0.88,scene_11,jump_cut
music1,1438,57.52,58.64,1.12,scene_12,jump_cut
music1,1466,58.64,60.72,02.08,scene_13,jump_cut
music1,1518,60.72,63.16,2.44,scene_14,jump_cut
music1,1579,63.16,65.0,1.84,scene_15,jump_cut
music1,1625,65.0,67.56,2.56,scene_16,jump_cut
music1,1689,67.56,68.68,1.12,scene_17,jump_cut
music1,1717,68.68,69.52,0.84,scene_18,jump_cut
music1,1738,69.52,70.52,1.0,scene_19,jump_cut
music1,1763,70.52,73.88,3.36,scene_20,jump_cut
music1,1847,73.88,75.36,1.48,scene_21,jump_cut
music1,1884,75.36,76.72,1.36,scene_22,jump_cut
music1,1918,76.72,78.24,1.52,scene_23,jump_cut
music1,1956,78.24,80.6,2.36,scene_24,jump_cut
music1,2015,80.6,82.16,1.56,scene_25,jump_cut
music1,2054,82.16,84.04,1.88,scene_26,jump_cut
music1,2101,84.04,88.0,3.96,scene_27,jump_cut
music1,2200,88.0,90.0,2.0,scene_28,jump_cut
music1,2250,90.0,91.52,1.52,scene_29,jump_cut
music1,2288,91.52,93.84,2.32,scene_30,jump_cut
music1,2346,93.84,96.56,2.72,scene_31,jump_cut
music1,2414,96.56,97.84,1.28,scene_32,jump_cut
music1,2446,97.84,98.92,01.08,scene_33,jump_cut
music1,2473,98.92,101.96,03.04,scene_34,jump_cut
music1,2549,101.96,103.24,1.28,scene_35,jump_cut
music1,2581,103.24,104.4,1.16,scene_36,jump_cut
music1,2610,104.4,105.6,1.2,scene_37,jump_cut
music1,2640,105.6,107.36,1.76,scene_38,jump_cut
music1,2684,107.36,108.24,0.88,scene_39,jump_cut
music1,2706,108.24,109.72,1.48,scene_40,jump_cut
music1,2743,109.72,110.2,0.48,scene_41,jump_cut
music1,2755,110.2,111.48,1.28,scene_42,jump_cut
music1,2787,111.48,113.0,1.52,scene_43,jump_cut
music1,2825,113.0,115.28,2.28,scene_44,jump_cut
music1,2882,115.28,116.56,1.28,scene_45,jump_cut
music1,2914,116.56,118.32,1.76,scene_46,jump_cut
music1,2958,118.32,,,scene_47,jump_cut
music2,93,3.72,5.2,1.48,scene_01,jump_cut
music2,130,5.2,7.24,02.04,scene_02,jump_cut
music2,181,7.24,10.24,3.0,scene_03,fadeout
music2,256,10.24,11.96,1.72,scene_04,jump_cut
music2,299,11.96,13.88,1.92,scene_05,jump_cut
music2,347,13.88,16.08,2.2,scene_06,fade_in_fade_out
music2,402,16.08,18.0,1.92,scene_07,fade_in_fade_out
music2,450,18.0,20.92,2.92,scene_08,jump_cut
music2,523,20.92,22.72,1.8,scene_09,jump_cut
music2,568,22.72,26.12,3.4,scene_10,jump_cut
music2,653,26.12,27.92,1.8,scene_11,jump_cut
music2,698,27.92,31.12,3.2,scene_12,jump_cut
music2,778,31.12,32.88,1.76,scene_13,jump_cut
music2,822,32.88,34.64,1.76,scene_14,jump_cut
music2,866,34.64,38.04,3.4,scene_15,jump_cut
music2,951,38.04,43.32,5.28,scene_16,jump_cut
music2,1083,43.32,44.8,1.48,scene_17,jump_cut
music2,1120,44.8,48.52,3.72,scene_18,jump_cut
music2,1213,48.52,50.32,1.8,scene_19,jump_cut
music2,1258,50.32,52.08,1.76,scene_20,jump_cut
music2,1302,52.08,54.08,2.0,scene_21,jump_cut
music2,1352,54.08,56.28,2.2,scene_22,jump_cut
music2,1407,56.28,58.6,2.32,scene_23,jump_cut
music2,1465,58.6,61.0,2.4,scene_24,jump_cut
music2,1525,61.0,62.8,1.8,scene_25,jump_cut
music2,1570,62.8,64.92,2.12,scene_26,jump_cut
music2,1623,64.92,65.88,0.96,scene_27,jump_cut
music2,1647,65.88,68.08,2.2,scene_28,jump_cut
music2,1702,68.08,70.32,2.24,scene_29,jump_cut
music2,1758,70.32,72.16,1.84,scene_30,jump_cut
music2,1804,72.16,74.56,2.4,scene_31,jump_cut
music2,1864,74.56,76.0,1.44,scene_32,jump_cut
music2,1900,76.0,83.48,7.48,scene_33,jump_cut
music2,2087,83.48,91.92,8.44,scene_34,jump_cut
music2,2298,91.92,93.4,1.48,scene_35,jump_cut
music2,2335,93.4,94.88,1.48,scene_36,jump_cut
music2,2372,94.88,98.56,3.68,scene_37,jump_cut
music2,2464,98.56,101.04,2.48,scene_38,jump_cut
music2,2526,101.04,103.16,2.12,scene_39,jump_cut
music2,2579,103.16,105.04,1.88,scene_40,jump_cut
music2,2626,105.04,107.32,2.28,scene_41,jump_cut
music2,2683,107.32,109.36,02.04,scene_42,jump_cut
music2,2734,109.36,112.48,3.12,scene_43,jump_cut
music2,2812,112.48,115.2,2.72,scene_44,jump_cut
music2,2880,115.2,116.84,1.64,scene_45,jump_cut
music2,2921,116.84,119.2,2.36,scene_46,jump_cut
music2,2980,119.2,,,scene_47,jump_cut
music3,66,0,2.640,2.640,scene_1,
music3,246,2.640,9.840,7.200,scene_2,
music3,273,9.840,10.920,1.080,scene_3,
music3,364,10.920,14.560,3.640,scene_4,
music3,429,14.560,17.160,2.600,scene_5,
music3,454,17.160,18.160,1.000,scene_6,
music3,498,18.160,19.920,1.760,scene_7,
music3,574,19.920,22.960,3.040,scene_8,
music3,612,22.960,24.480,1.520,scene_9,
music3,772,24.480,30.880,6.400,scene_10,
music3,854,30.880,34.160,3.280,scene_11,
music3,957,34.160,38.280,4.120,scene_12,
music3,997,38.280,39.880,1.600,scene_13,
music3,1069,39.880,42.760,2.880,scene_14,
music3,1109,42.760,44.360,1.600,scene_15,
music3,1165,44.360,46.600,2.240,scene_16,
music3,1186,46.600,47.440,840,scene_17,
music3,1219,47.440,48.760,1.320,scene_18,
music3,1255,48.760,50.200,1.440,scene_19,
music3,1299,50.200,51.960,1.760,scene_20,
music3,1319,51.960,52.760,800,scene_21,
music3,1364,52.760,54.560,1.800,scene_22,
music3,1406,54.560,56.240,1.680,scene_23,
music3,1576,56.240,63.040,6.800,scene_24,
music3,1649,63.040,65.960,2.920,scene_25,
music3,1707,65.960,68.280,2.320,scene_26,
music3,1771,68.280,70.840,2.560,scene_27,
music3,1840,70.840,73.600,2.760,scene_28,
music3,1923,73.600,76.920,3.320,scene_29,
music3,1984,76.920,79.360,2.440,scene_30,
music3,2024,79.360,80.960,1.600,scene_31,
music3,2101,80.960,84.040,3.080,scene_32,
music3,2142,84.040,85.680,1.640,scene_33,
music3,2226,85.680,89.040,3.360,scene_34,
music3,2257,89.040,90.280,1.240,scene_35,
music3,2294,90.280,91.760,1.480,scene_36,
music3,2322,91.760,92.880,1.120,scene_37,
music3,2342,92.880,93.680,800,scene_38,
music3,2412,93.680,96.480,2.800,scene_39,
music3,2431,96.480,97.240,760,scene_40,
music3,2462,97.240,98.480,1.240,scene_41,
music3,2487,98.480,99.480,1.000,scene_42,
music3,2572,99.480,102.880,3.400,scene_43,
music3,2718,102.880,108.720,5.840,scene_44,
music3,2827,108.720,113.080,4.360,scene_45,
music3,2952,113.080,118.080,5.000,scene_46,
music3,3005,118.080,120.200,2.120,scene_47,
music3,3052,120.200,122.080,1.880,scene_48,
music3,3150,122.080,126.000,3.920,scene_49,
